season,week,player_id,player_name,fantasy_points_ppr,fantasy_points,recent_team,opponent_team,passing_yards,rushing_yards,receiving_yards
2024,12,00-0039344,J.Brooks,0.7,0.7,CAR,KC,0.0,7.0,0.0
2024,12,00-0039355,L.McCaffrey,1.8,0.8,WAS,DAL,0.0,0.0,8.0
2024,12,00-0039356,J.Sanders,7.9,4.9,CAR,KC,0.0,0.0,49.0
2024,12,00-0039359,C.Stover,11.6,8.6,HOU,TEN,0.0,0.0,26.0
2024,12,00-0039361,B.Irving,27.2,21.2,TB,NYG,0.0,88.0,64.0
2024,10,00-0039363,I.Guerendo,0.0,0.0,SF,TB,0.0,0.0,0.0
2024,11,00-0039364,S.Vaki,0.9,0.9,DET,JAX,0.0,9.0,0.0
2024,7,00-0039365,J.Cowing,7.0,5.0,SF,KC,0.0,0.0,50.0
2024,12,00-0039373,A.Estime,1.5,1.5,DEN,LV,0.0,15.0,0.0
2024,8,00-0039376,S.Rattler,6.24,6.24,NO,LAC,156.0,0.0,0.0
2024,11,00-0039379,J.Thrash,2.1,1.1,CLE,NO,0.0,0.0,11.0
2024,13,00-0039384,T.Tracy,14.5,12.5,NYG,DAL,0.0,32.0,33.0
2024,8,00-0039386,B.Means,4.6,3.6,NO,LAC,0.0,0.0,36.0
2024,9,00-0039391,K.Vidal,0.7,0.7,LAC,CLE,0.0,7.0,0.0
2024,9,00-0039392,J.Jackson,1.3,0.3,TEN,NE,0.0,-5.0,8.0
2024,11,00-0039393,J.McClellan,1.5,1.5,ATL,DEN,0.0,15.0,0.0
2024,11,00-0039394,C.Washington,0.0,0.0,ATL,DEN,0.0,0.0,0.0
2024,6,00-0039407,D.Laube,-2.0,-2.0,LV,PIT,0.0,0.0,0.0
2024,11,00-0039410,R.Flournoy,3.9,1.9,DAL,HOU,0.0,0.0,19.0
2024,11,00-0039420,J.Bell,0.0,0.0,NE,LA,0.0,0.0,0.0
2024,12,00-0039424,D.Vele,14.0,8.0,DEN,LV,0.0,0.0,80.0
